film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
141,CHICAGO NORTH,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,2006,1,6,4.99,185,11.99,PG-13,"Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
142,CHICKEN HELLFIGHTERS,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,2006,1,3,0.99,122,24.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
143,CHILL LUCK,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,2006,1,6,0.99,142,17.99,PG,"Trailers,Commentaries,Deleted Scenes",2023-07-30 11:48:33
145,CHISUM BEHAVIOR,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,2006,1,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes",2023-07-30 11:48:33
146,CHITTY LOCK,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,1,6,2.99,107,24.99,G,Commentaries,2023-07-30 11:48:33
147,CHOCOLAT HARRY,A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan,2006,1,5,0.99,101,16.99,NC-17,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
149,CHRISTMAS MOONSHINE,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,2006,1,7,0.99,150,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes",2023-07-30 11:48:33
150,CIDER DESIRE,A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia,2006,1,7,2.99,101,9.99,PG,Behind the Scenes,2023-07-30 11:48:33
151,CINCINATTI WHISPERER,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,2006,1,5,4.99,143,26.99,NC-17,Deleted Scenes,2023-07-30 11:48:33
152,CIRCUS YOUTH,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,2006,1,5,2.99,90,13.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
153,CITIZEN SHREK,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,2006,1,7,0.99,165,18.99,G,"Commentaries,Deleted Scenes",2023-07-30 11:48:33
154,CLASH FREDDY,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,2006,1,6,2.99,81,12.99,G,"Commentaries,Deleted Scenes",2023-07-30 11:48:33
155,CLEOPATRA DEVIL,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,2006,1,6,0.99,150,26.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
156,CLERKS ANGELS,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,2006,1,3,4.99,164,15.99,G,Commentaries,2023-07-30 11:48:33
157,CLOCKWORK PARADISE,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,2006,1,7,0.99,143,29.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
158,CLONES PINOCCHIO,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,2006,1,6,2.99,124,16.99,R,Behind the Scenes,2023-07-30 11:48:33
159,CLOSER BANG,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,2006,1,5,4.99,58,12.99,R,"Trailers,Behind the Scenes",2023-07-30 11:48:33
160,CLUB GRAFFITI,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,2006,1,4,0.99,65,12.99,PG-13,"Trailers,Deleted Scenes",2023-07-30 11:48:33
161,CLUE GRAIL,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,2006,1,6,4.99,70,27.99,NC-17,"Trailers,Commentaries,Behind the Scenes",2023-07-30 11:48:33
162,CLUELESS BUCKET,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,2006,1,4,2.99,95,13.99,R,"Trailers,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
163,CLYDE THEORY,A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat,2006,1,4,0.99,139,29.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
164,COAST RAINBOW,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,2006,1,4,0.99,55,20.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
165,COLDBLOODED DARLING,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,2006,1,7,4.99,70,27.99,G,"Trailers,Deleted Scenes",2023-07-30 11:48:33
166,COLOR PHILADELPHIA,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,2006,1,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
167,COMA HEAD,A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California,2006,1,6,4.99,109,10.99,NC-17,Commentaries,2023-07-30 11:48:33
168,COMANCHEROS ENEMY,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,2006,1,5,0.99,67,23.99,R,"Trailers,Behind the Scenes",2023-07-30 11:48:33
169,COMFORTS RUSH,A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft,2006,1,3,2.99,76,19.99,NC-17,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
170,COMMAND DARLING,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,2006,1,5,4.99,120,28.99,PG-13,Behind the Scenes,2023-07-30 11:48:33
172,CONEHEADS SMOOCHY,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,2006,1,7,4.99,112,12.99,NC-17,"Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
173,CONFESSIONS MAGUIRE,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,2006,1,7,4.99,65,25.99,PG-13,Behind the Scenes,2023-07-30 11:48:33
174,CONFIDENTIAL INTERVIEW,A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan,2006,1,6,4.99,180,13.99,NC-17,Commentaries,2023-07-30 11:48:33
175,CONFUSED CANDLES,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,2006,1,3,2.99,122,27.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
176,CONGENIALITY QUEST,A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon,2006,1,6,0.99,87,21.99,PG-13,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
177,CONNECTICUT TRAMP,A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank,2006,1,4,4.99,172,20.99,R,"Commentaries,Deleted Scenes",2023-07-30 11:48:33
178,CONNECTION MICROCOSMOS,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,2006,1,6,0.99,115,25.99,G,"Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
179,CONQUERER NUTS,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,2006,1,4,4.99,173,14.99,G,"Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
180,CONSPIRACY SPIRIT,A Awe-Inspiring Story of a Student And a Frisbee who must Conquer a Crocodile in An Abandoned Mine Shaft,2006,1,4,2.99,184,27.99,PG-13,"Trailers,Commentaries",2023-07-30 11:48:33
181,CONTACT ANONYMOUS,A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India,2006,1,7,2.99,166,10.99,PG-13,Commentaries,2023-07-30 11:48:33
182,CONTROL ANTHEM,A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery,2006,1,7,4.99,185,9.99,G,Commentaries,2023-07-30 11:48:33
183,CONVERSATION DOWNHILL,A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention,2006,1,4,4.99,112,14.99,R,Commentaries,2023-07-30 11:48:33
184,CORE SUIT,A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse,2006,1,3,2.99,92,24.99,PG-13,Deleted Scenes,2023-07-30 11:48:33
185,COWBOY DOOM,A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon,2006,1,3,2.99,146,10.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
186,CRAFT OUTFIELD,A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory,2006,1,6,0.99,64,17.99,NC-17,"Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
187,CRANES RESERVOIR,A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory,2006,1,5,2.99,57,12.99,NC-17,Commentaries,2023-07-30 11:48:33
188,CRAZY HOME,A Fanciful Panorama of a Boy And a Woman who must Vanquish a Database Administrator in The Outback,2006,1,7,2.99,136,24.99,PG,"Commentaries,Deleted Scenes",2023-07-30 11:48:33
189,CREATURES SHAKESPEARE,A Emotional Drama of a Womanizer And a Squirrel who must Vanquish a Crocodile in Ancient India,2006,1,3,0.99,139,23.99,NC-17,"Trailers,Deleted Scenes",2023-07-30 11:48:33
190,CREEPERS KANE,A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat,2006,1,5,4.99,172,23.99,NC-17,"Trailers,Behind the Scenes",2023-07-30 11:48:33
191,CROOKED FROGMEN,A Unbelieveable Drama of a Hunter And a Database Administrator who must Battle a Crocodile in An Abandoned Amusement Park,2006,1,6,0.99,143,27.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
193,CROSSROADS CASUALTIES,A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback,2006,1,5,2.99,153,20.99,G,"Trailers,Commentaries,Behind the Scenes",2023-07-30 11:48:33
194,CROW GREASE,A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station,2006,1,6,0.99,104,22.99,PG,"Trailers,Commentaries,Behind the Scenes",2023-07-30 11:48:33
196,CRUELTY UNFORGIVEN,A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria,2006,1,7,0.99,69,29.99,G,"Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
197,CRUSADE HONEY,A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park,2006,1,4,2.99,112,27.99,R,Commentaries,2023-07-30 11:48:33
199,CUPBOARD SINNERS,A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park,2006,1,4,2.99,56,29.99,R,Behind the Scenes,2023-07-30 11:48:33
200,CURTAIN VIDEOTAPE,A Boring Reflection of a Dentist And a Mad Cow who must Chase a Secret Agent in A Shark Tank,2006,1,7,0.99,133,27.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
201,CYCLONE FAMILY,A Lacklusture Drama of a Student And a Monkey who must Sink a Womanizer in A MySQL Convention,2006,1,7,2.99,176,18.99,PG,"Trailers,Deleted Scenes",2023-07-30 11:48:33
202,DADDY PITTSBURGH,A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico,2006,1,5,4.99,161,26.99,G,"Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
203,DAISY MENAGERIE,A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India,2006,1,5,4.99,84,9.99,G,"Trailers,Commentaries,Behind the Scenes",2023-07-30 11:48:33
204,DALMATIONS SWEDEN,A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse,2006,1,4,0.99,106,25.99,PG,"Trailers,Commentaries,Deleted Scenes",2023-07-30 11:48:33
205,DANCES NONE,A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park,2006,1,3,0.99,58,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
206,DANCING FEVER,A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank,2006,1,6,0.99,144,25.99,G,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
207,DANGEROUS UPTOWN,A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California,2006,1,7,4.99,121,26.99,PG,Commentaries,2023-07-30 11:48:33
208,DARES PLUTO,A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans,2006,1,7,2.99,89,16.99,PG-13,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
209,DARKNESS WAR,A Touching Documentary of a Husband And a Hunter who must Escape a Boy in The Sahara Desert,2006,1,6,2.99,99,24.99,NC-17,"Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
210,DARKO DORADO,A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans,2006,1,3,4.99,130,13.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
211,DARLING BREAKING,A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico,2006,1,7,4.99,165,20.99,PG-13,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
212,DARN FORRESTER,A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat,2006,1,7,4.99,185,14.99,G,Deleted Scenes,2023-07-30 11:48:33
213,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006,1,4,0.99,104,19.99,R,Commentaries,2023-07-30 11:48:33
214,DAUGHTER MADIGAN,A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station,2006,1,3,4.99,59,13.99,PG-13,Trailers,2023-07-30 11:48:33
215,DAWN POND,A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin,2006,1,4,4.99,57,27.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
216,DAY UNFAITHFUL,A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat,2006,1,3,4.99,113,16.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
218,DECEIVER BETRAYED,A Taut Story of a Moose And a Squirrel who must Build a Husband in Ancient India,2006,1,7,0.99,122,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2023-07-30 11:48:33
219,DEEP CRUSADE,A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia,2006,1,6,4.99,51,20.99,PG-13,"Commentaries,Behind the Scenes",2023-07-30 11:48:33
220,DEER VIRGINIAN,A Thoughtful Story of a Mad Cow And a Womanizer who must Overcome a Mad Scientist in Soviet Georgia,2006,1,7,2.99,106,13.99,NC-17,Deleted Scenes,2023-07-30 11:48:33
222,DESERT POSEIDON,A Brilliant Documentary of a Butler And a Frisbee who must Build a Astronaut in New Orleans,2006,1,4,4.99,64,27.99,R,"Trailers,Behind the Scenes",2023-07-30 11:48:33
223,DESIRE ALIEN,A Fast-Paced Tale of a Dog And a Forensic Psychologist who must Meet a Astronaut in The First Manned Space Station,2006,1,7,2.99,76,24.99,NC-17,Deleted Scenes,2023-07-30 11:48:33
